code,date,ret_pct
600066.SH,2019-06-30,4.0767
600066.SH,2019-07-31,-0.2304
600066.SH,2019-08-31,11.8553
600066.SH,2019-09-30,-4.3359
600066.SH,2019-10-31,2.8777
600066.SH,2019-11-30,-1.8881
600066.SH,2019-12-31,1.5681
600066.SH,2020-01-31,10.7368
600066.SH,2020-02-29,-4.436
600066.SH,2020-03-31,-9.2175
600066.SH,2020-04-30,-4.748
600066.SH,2020-05-31,0.0863
600066.SH,2020-06-30,0.8264
600066.SH,2020-07-31,11.6393
600066.SH,2020-08-31,4.3319
600066.SH,2020-09-30,10.6263
600066.SH,2020-10-31,1.7812
600066.SH,2020-11-30,8.625
600066.SH,2020-12-31,-2.6467
600068.SH,2016-01-31,-31.1309
600068.SH,2016-02-29,-3.69
600068.SH,2016-03-31,15.3257
600068.SH,2016-04-30,-1.6611
600068.SH,2016-05-31,-0.3378
600068.SH,2016-06-30,1.496
600068.SH,2016-07-31,19.4158
600068.SH,2016-08-31,19.4245
600068.SH,2016-09-30,-4.6988
600068.SH,2016-10-31,8.7231
600068.SH,2016-11-30,11.5116
600068.SH,2016-12-31,-4.171
600068.SH,2017-01-31,7.8346
600068.SH,2017-02-28,11.8063
600068.SH,2017-03-31,6.2274
600068.SH,2017-04-30,1.4444
600068.SH,2017-05-31,-14.8241
600068.SH,2017-06-30,12.6741
600068.SH,2017-07-31,1.2456
600068.SH,2017-08-31,-6.5905
600068.SH,2017-09-30,-2.3518
600068.SH,2017-10-31,-5.2987
600068.SH,2017-11-30,-7.6297
600068.SH,2017-12-31,-9.6916
600068.SH,2018-01-31,15.9756
600068.SH,2018-02-28,-0.4206
600068.SH,2018-03-31,-7.3918
600068.SH,2018-04-30,-5.9293
600068.SH,2018-05-31,-7.2727
600068.SH,2018-06-30,-2.3035
600068.SH,2018-07-31,8.4605
600068.SH,2018-08-31,-9.335
600068.SH,2018-09-30,2.8209
600068.SH,2018-10-31,-12.0713
600068.SH,2018-11-30,0
600068.SH,2018-12-31,-1.4041
600068.SH,2019-01-31,-2.3734
600068.SH,2019-02-28,14.9109
600068.SH,2019-03-31,2.3977
600068.SH,2019-04-30,-6.1983
600068.SH,2019-05-31,-9.1043
600068.SH,2019-06-30,0.6462
600068.SH,2019-07-31,-3.0498
600068.SH,2019-08-31,-7.7172
600068.SH,2019-09-30,7.963
600068.SH,2019-10-31,-1.7153
600068.SH,2019-11-30,7.3298
600068.SH,2019-12-31,8.6179
600068.SH,2020-01-31,-5.8383
600068.SH,2020-02-29,5.7234
600068.SH,2020-03-31,4.9624
600068.SH,2020-04-30,-6.447
600068.SH,2020-05-31,-8.8821
600068.SH,2020-06-30,0
600068.SH,2020-07-31,12.1008
600068.SH,2020-08-31,-2.3361
600068.SH,2020-09-30,-6.6038
600068.SH,2020-10-31,17.0034
600068.SH,2020-11-30,-2.0144
600068.SH,2020-12-31,-3.3774
600089.SH,2016-01-31,-27.4427
600089.SH,2016-02-29,-4.918
600089.SH,2016-03-31,12.1921
600089.SH,2016-04-30,-4.281
600089.SH,2016-05-31,-2.6376
600089.SH,2016-06-30,0.3534
600089.SH,2016-07-31,8.1914
600089.SH,2016-08-31,-0.3322
600089.SH,2016-09-30,-4.2222
600089.SH,2016-10-31,2.7842
600089.SH,2016-11-30,9.0293
600089.SH,2016-12-31,-5.4865
600089.SH,2017-01-31,3.2859
600089.SH,2017-02-28,9.544
600089.SH,2017-03-31,8.3253
600089.SH,2017-04-30,1.2511
600089.SH,2017-05-31,-12.9329
600089.SH,2017-06-30,10.8369
600089.SH,2017-07-31,1.7425
600089.SH,2017-08-31,-4.4719
600089.SH,2017-09-30,-1.7928
600089.SH,2017-10-31,1.8256
600089.SH,2017-11-30,-0.3984
600089.SH,2017-12-31,-0.9
600089.SH,2018-01-31,-1.0091
600089.SH,2018-02-28,-8.1549
600089.SH,2018-03-31,-2.1088
600089.SH,2018-04-30,-9.9773
600089.SH,2018-05-31,-1.5113
600089.SH,2018-06-30,-11.3811
600089.SH,2018-07-31,2.832
600089.SH,2018-08-31,-2.4602
600089.SH,2018-09-30,6.3798
600089.SH,2018-10-31,-3.0683
600089.SH,2018-11-30,-1.4388
600089.SH,2018-12-31,-0.8759
600089.SH,2019-01-31,3.3873
600089.SH,2019-02-28,13.2479
600089.SH,2019-03-31,4.1509
600089.SH,2019-04-30,-6.6425
600089.SH,2019-05-31,-7.1151
600089.SH,2019-06-30,0.9749
600089.SH,2019-07-31,0.5482
600089.SH,2019-08-31,-7.4543
600089.SH,2019-09-30,-1.2158
600089.SH,2019-10-31,-1.2308
600089.SH,2019-11-30,1.0903
600089.SH,2019-12-31,2.4653
600089.SH,2020-01-31,-4.3609
600089.SH,2020-02-29,-2.044
600089.SH,2020-03-31,17.175
600089.SH,2020-04-30,3.1507
600089.SH,2020-05-31,-8.7649
600089.SH,2020-06-30,-1.4556
600089.SH,2020-07-31,31.8903
600089.SH,2020-08-31,-6.4147
600089.SH,2020-09-30,7.4663
600089.SH,2020-10-31,-6.492
600089.SH,2020-11-30,3.8977
600089.SH,2020-12-31,18.9918
600100.SH,2016-01-31,-37.3341
600100.SH,2016-02-29,-6.4431
600100.SH,2016-03-31,20.8491
600100.SH,2016-04-30,-4.6058
600100.SH,2016-05-31,24.3044
600100.SH,2016-06-30,-1.5142
600100.SH,2016-07-31,10.6066
600100.SH,2016-08-31,-9.2017
600100.SH,2016-09-30,-7.5839
600100.SH,2016-10-31,1.6703
600100.SH,2016-11-30,9.0714
600100.SH,2016-12-31,-9.2993
600100.SH,2017-01-31,-2.0217
600100.SH,2017-02-28,1.4738
600100.SH,2017-03-31,-0.8715
600100.SH,2017-04-30,3.4432
600100.SH,2017-05-31,0
600100.SH,2017-06-30,0
600100.SH,2017-07-31,0
600100.SH,2017-08-31,0
600100.SH,2017-09-30,-12.0404
600100.SH,2017-10-31,-11.5574
600100.SH,2017-11-30,2.595
600100.SH,2017-12-31,-11.4724
600100.SH,2018-01-31,0.8163
600100.SH,2018-02-28,4.0486
600100.SH,2018-03-31,1.5564
600100.SH,2018-04-30,4.4061
600100.SH,2018-05-31,1.1927
600100.SH,2018-06-30,-20.3989
600100.SH,2018-07-31,8.7783
600100.SH,2018-08-31,-0.3145
600100.SH,2018-09-30,2.5237
600100.SH,2018-10-31,-10.5641
600100.SH,2018-11-30,15.8257
600100.SH,2018-12-31,-3.6634
600100.SH,2019-01-31,-11.8191
600100.SH,2019-02-28,20.8625
600100.SH,2019-03-31,18.9971
600100.SH,2019-04-30,-15.6402
600100.SH,2019-05-31,-4.5149
600100.SH,2019-06-30,-8.9537
600100.SH,2019-07-31,-1.326
600100.SH,2019-08-31,-1.1198
600100.SH,2019-09-30,-7.3613
600100.SH,2019-10-31,0.7335
600100.SH,2019-11-30,-3.1553
600100.SH,2019-12-31,9.8997
600100.SH,2020-01-31,0.4561
600100.SH,2020-02-29,1.9296
600100.SH,2020-03-31,-11.2472
600100.SH,2020-04-30,-8.532
600100.SH,2020-05-31,-4.5267
600100.SH,2020-06-30,4.7414
600100.SH,2020-07-31,9.3076
600100.SH,2020-08-31,-0.5038
600100.SH,2020-09-30,-10.5063
600100.SH,2020-10-31,-6.6478
600100.SH,2020-11-30,0.9091
600100.SH,2020-12-31,-6.9069
600085.SH,2016-01-31,-34.8352
600085.SH,2016-02-29,-6.6047
600085.SH,2016-03-31,11.1234
600085.SH,2016-04-30,-7.6235
600085.SH,2016-05-31,-1.3276
600085.SH,2016-06-30,8.3273
600085.SH,2016-07-31,7.385
600085.SH,2016-08-31,-2.1184
600085.SH,2016-09-30,-1.7696
600085.SH,2016-10-31,2.8169
600085.SH,2016-11-30,9.1749
600085.SH,2016-12-31,-8.433
600085.SH,2017-01-31,-3.0911
600085.SH,2017-02-28,0.4275
600085.SH,2017-03-31,3.5036
600085.SH,2017-04-30,-1.8349
600085.SH,2017-05-31,4.0606
600085.SH,2017-06-30,8.2688
600085.SH,2017-07-31,-5.9783
600085.SH,2017-08-31,-1.0973
600085.SH,2017-09-30,0.4338
600085.SH,2017-10-31,3.8877
600085.SH,2017-11-30,-4.1283
600085.SH,2017-12-31,-0.1239
600085.SH,2018-01-31,5.1489
600085.SH,2018-02-28,-4.4248
600085.SH,2018-03-31,6.9753
600085.SH,2018-04-30,2.337
600085.SH,2018-05-31,14.2374
600085.SH,2018-06-30,-12.9319
600085.SH,2018-07-31,-4.195
600085.SH,2018-08-31,-4.6436
600085.SH,2018-09-30,-0.7192
600085.SH,2018-10-31,-10.4567
600085.SH,2018-11-30,2.3215
600085.SH,2018-12-31,-5.4658
600085.SH,2019-01-31,-4.0727
600085.SH,2019-02-28,10.8415
600085.SH,2019-03-31,2.3598
600085.SH,2019-04-30,4.143
600085.SH,2019-05-31,-6.256
600085.SH,2019-06-30,-0.7529
600085.SH,2019-07-31,-1.3011
600085.SH,2019-08-31,-1.9746
600085.SH,2019-09-30,-3.2374
600085.SH,2019-10-31,2.2305
600085.SH,2019-11-30,-3.2727
600085.SH,2019-12-31,8.0082
600085.SH,2020-01-31,-2.9454
600085.SH,2020-02-29,-4.4241
600085.SH,2020-03-31,-3.0222
600085.SH,2020-04-30,1.3018
600085.SH,2020-05-31,-2.4143
600085.SH,2020-06-30,8.2203
600085.SH,2020-07-31,0.677
